super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count
3625,Sul Ross State University,Alpine,TX,45000,37100,.23651515,.0012868353,.2219535,.014832546,.052495364,.0035081219,-.043597102,-.024164248,285.3333333333333
1050,Tuskegee University,Auburn,AL,54400,38900,.18653946,.0016463323,.28048244,0,.052321043,0,-.031784654,-.019533306,522.6666666666666
9635,Florida International University,Miami,FL,66700,46800,.15013786,.01202119,.34801069,.0078079393,.052249581,.0011722672,-.020987066,-.026548076,2864.5
3623,Saint Mary's University,San Antonio,TX,76700,49700,.13445237,.016042205,.38036057,.01675483,.051140383,.0022527266,-.034928624,-.016439926,438
2836,Binghamton University,Union,NY,104400,65700,.094252944,.0064435373,.53978479,.048192862,.050876305,.0045423191,-.028760759,-.061997514,1975
10097,CUNY Medgar Evers College,New York,NY,35100,30900,.30484688,.0013676974,.1655872,.00002874201,.050478742,8.7619119e-06,-.040861491,-.076234333,284
7109,SUNY College At Old Westbury,New York,NY,48400,39200,.2058821,.0038401424,.24483013,0,.050406143,0,-.082117535,-.1749811,251
1134,California Maritime Academy,San Francisco,CA,113100,85800,.059269119,.0074594053,.8497473,.060716722,.050363775,.0035986267,-.021002412,-.025738345,92
2004,Dillard University,New Orleans,LA,42600,36700,.24772984,.0015893223,.20298244,.0019254729,.050284807,.00047699708,.044289272,.076223142,414.1666666666667
2883,Utica College,Syracuse,NY,67500,47800,.1310263,.0049392343,.38360474,.029418236,.05026231,.0038545625,-.037008684,-.022971796,345
2694,Kingsborough Commmunity College/CUNY,New York,NY,40700,31300,.27106011,.0016059733,.18359834,.0060465871,.049766187,.0016389886,-.019705111,-.010987346,1624.666666666667
2667,Dowling College,New York,NY,71500,45800,.16336198,.0058125476,.30326214,.0076758726,.049541503,.0012539458,-.05413457,-.11676822,275
34,University Of Houston System,Houston,TX,65700,45400,.15731335,.0071148989,.31238103,.011459769,.049141705,.0018027746,-.023072861,-.03249165,4619.333333333333
1312,"University Of California, Berkeley",San Francisco,CA,114700,67900,.088423379,.047117095,.55246651,.086400434,.048850957,.0076398184,-.016523691,-.026460705,4624.333333333333
9797,Midland College,Midland,TX,58600,35900,.18844025,.0030878382,.25685894,.004697646,.048402563,.0008852256,-.083010793,-.090670899,768.6666666666666
1317,"University Of California, San Diego",San Diego,CA,111300,65300,.087772354,.033567566,.55060005,.045455206,.048327465,.0039897105,.035330933,.082813978,3264.666666666667
1214,Imperial Valley College,Yuma,CA,34300,25800,.35884327,.0013814998,.13431495,0,.048198018,0,-.098004989,-.077659309,885.6666666666666
1261,Pasadena City College,Los Angeles,CA,44600,29500,.27937716,.0051477347,.17234071,.0042361161,.048148058,.0011834741,-.073442653,-.076677561,3321.333333333333
1137,"California State University, Fullerton",Los Angeles,CA,83300,47800,.12116247,.0085602049,.39610577,.0069595869,.047993153,.00084324076,-.036968537,-.053294767,2374
10387,El Paso Community College,El Paso,TX,29200,25700,.40920174,.00069665944,.11668072,.0017266116,.047745954,.0007065325,-.10199104,-.079576813,2837.666666666667
5692,Reid State Technical College,Atmore,AL,34600,17500,.34119484,.0010840176,.13939928,.00086672994,.047562312,.00029572379,.022708377,.054882713,105
36273,Lamar Institute Of Technology,Beaumont,TX,52600,34400,.2428209,.0015602395,.19470011,.0020055349,.047277257,.00048698581,-.071755253,-.039441895,437.3333333333333
3596,Odessa College,Midland,TX,50900,34800,.20727979,.0010583673,.22722612,.011935855,.047099382,.0024740614,-.044728663,-.077280059,912.3333333333334
59,Robert Morgan And Miami Lakes Educational Centers,Miami,FL,32200,23000,.35539445,.00069012505,.13001621,.000032623619,.046207041,.000011594253,-.080133215,-.072422571,175.3333333333333
2006,Grambling State University,Ruston,LA,34300,30500,.34357506,0,.13437594,.0023359163,.046168223,.00080256257,-.094198704,-.048968822,815.6666666666666
62,Miami Dade Community College System,Miami,FL,37000,31300,.31510422,.0037243201,.14626253,.0017387096,.046087939,.00054787472,-.039628953,-.035843372,7259.333333333333
7993,"California State University, Bakersfield",Bakersfield,CA,67700,46100,.14064996,.003696711,.32759681,.0042959061,.04607648,.00060421904,.0068797101,.028271258,542.6666666666666
1116,Art Center College Of Design,Los Angeles,CA,84800,42800,.14908856,.0190461,.30677685,.020532671,.04573692,.0030611865,-.06869594,-.014835708,109.5
1468,Saint Thomas University,Miami,FL,37500,35300,.28582835,.010630425,.15930745,.000070524744,.045534585,.000020157971,-.084577076,-.1441845,125
9932,Texas State Technical College West Texas,Sweetwater,TX,41000,28900,.2687678,.0032185621,.16656302,.0028545973,.044766776,.00076722383,-.097697355,-.15165091,411.5
107,Triangle Tech,Pittsburgh,PA,55800,37500,.1749585,0,.25422829,.0046908353,.0444794,.00082070148,-.036720779,-.060784556,327
1313,"University Of California, Davis",Sacramento,CA,109400,61600,.085837573,.026686411,.51769853,.03404713,.044437986,.0029225231,.014319528,.036063001,3996
1139,"California State University, Long Beach",Los Angeles,CA,85800,48800,.11606012,.01184576,.38175958,.0030129836,.044307064,.00034968724,-.0054861577,-.0023960234,2863.666666666667
1142,"California State University, San Bernardino",Los Angeles,CA,69800,43500,.1409772,.0038544468,.31198096,.0081167929,.043982204,.0011442828,-.012455586,-.0037529762,1151.666666666667
1286,Santa Monica College,Los Angeles,CA,51300,28800,.22690758,.019464733,.19325553,.0056361752,.043851145,.0012788909,-.025649261,-.023187065,2886.666666666667
1138,"California State University, East Bay",San Francisco,CA,86000,51300,.098883428,.0052334913,.43979919,.0093932124,.043488853,.00092883303,.029412355,.041534219,696.6666666666666
2655,New Mexico Junior College,Hobbs,NM,50000,31300,.22042319,.0034722337,.19683868,0,.043387808,0,-.032822222,-.038523715,352.3333333333333
2025,Southern University And Agricultural & Mechanical Colg At Baton R,Baton Rouge,LA,38600,34200,.31241488,.00080337678,.1388679,.0028432359,.043384399,.00088826922,-.070119835,-.010362322,1561
2639,Stevens Institute Of Technology,Newark,NJ,96000,92100,.068676248,.012514295,.62470394,.032940544,.042902324,.0022622331,-.02941975,-.09391395,293
2710,Cooper Union For The Advancement Of Science & Art ,New York,NY,110100,64300,.082825214,.026050696,.51646566,.070066541,.04277638,.0058032763,-.037931789,-.044114228,174.3333333333333
1988,"Union College of Barbourville, KY",London,KY,56400,36900,.24598879,.0015920325,.1738926,.00028272718,.042775631,.000069547714,-.10549081,-.051116101,77
91,"Devry University, Devry Institute Of Technology And Denver Technical College",Chicago,IL,56300,40900,.1762338,.002580784,.24265957,.0044684075,.042764816,.0007874844,.049683664,.081795521,7212
1251,Otis College Of Art & Design,Los Angeles,CA,80500,47600,.10674748,.045208465,.39971697,.00049755187,.042668778,.000053112406,-.011802304,.022264553,124
1329,University Of The Pacific,Sacramento,CA,96500,59000,.08552739,.039641704,.49739423,.0063644825,.04254083,.00054433756,-.017470138,-.035614431,617.6666666666666
1002,Alabama Agricultural & Mechanical University,Huntsville,AL,44500,32900,.24356118,.00017934357,.17323409,.0029935567,.0421931,.00072911417,-.048939217,.0023420663,943.6666666666666
21922,Thomas A Edison State College,Newark,NJ,79300,37500,.10351507,.025492089,.40459982,.000046350084,.041882176,4.7979320e-06,-.027925847,-.041626863,222.6666666666667
7549,Coyne College,Chicago,IL,44200,31400,.21289909,.0025655057,.19669069,0,.041875269,0,.11588048,.094732888,149.3333333333333
7780,New Castle School Of Trades,Youngstown,PA,50400,28700,.2063919,.00050522102,.20282461,.00011271513,.041861355,.00002326349,-.063898005,-.12733795,82.5
1147,"California State University, Fresno",Fresno,CA,72400,44400,.15951231,.0085306447,.26240528,.0037266277,.041856874,.000594443,-.030854736,-.021689955,1656.333333333333
7678,Spartan College Of Aeronautics And Technology,Tulsa,OK,62100,49300,.13039255,.0024412684,.31817222,.0015892978,.041487288,.00020723259,.050362669,.10536117,293
2698,College Of Staten Island/CUNY,New York,NY,73500,41200,.14325194,.00354558,.2886385,.0069036619,.041348025,.00098896294,.023011902,.031635422,1361.333333333333
2989,Dickinson State University,Dickinson,ND,57800,40700,.13897127,.00096862169,.2948803,.000048389109,.040979888,6.7246960e-06,-.07282538,-.18775147,343
34244,"Fortis College of Houston, TX",Houston,TX,27900,23500,.41854,.00075852923,.097010195,.00050275697,.040602647,.00021042391,-.057019256,-.082260899,69.5
12,Los Angeles Community College District,Los Angeles,CA,41400,28400,.28322423,.0038187557,.14326668,.0018814249,.040576592,.00053286512,-.035732117,-.028827006,8129.333333333333
1590,Savannah State University,Savannah,GA,45400,29400,.24721366,.0010882883,.16327092,.000084497675,.040362801,.00002088898,-.01180139,.048069436,332
7502,"Berkeley College of Woodland Park, NJ",Newark,NJ,51200,37600,.20836933,.0036599361,.19284177,.00021156583,.040182311,.00004408383,.023430897,.085857958,446.3333333333333
1448,Howard University,Washington DC,DC,76900,49600,.10792967,.0042792596,.37098277,.0086662685,.040040046,.00093534752,-.010752089,-.025590913,1082
2654,New Mexico Institute Of Mining & Technology,Socorro,NM,91800,55000,.083693519,.0039256127,.47676829,.035972096,.039902415,.0030106313,-.051714387,-.083925158,194
12954,Hudson County Community College,Newark,NJ,32600,25100,.3626492,.00058749452,.10998089,.0012464062,.039884482,.00045200821,-.052622467,-.056392595,719
